Год,131ч.3,131ч.4,131ч.5,132ч.3,132ч.4,132ч.5,133ч.2,134ч.1,134ч.2,134ч.3,134ч.4,134ч.5,134ч.6,135ч.1,135ч.2,135ч.3,135ч.4,135ч.5,242.1ч.2,242.2ч.1,242.2ч.2
2010,271.0,75.0,,431.0,340.0,,,1368.0,134.0,4.0,0.0,,,154.0,73.0,146.0,4.0,,58.0,,
2011,361.0,161.0,,253.0,545.0,,,1306.0,208.0,7.0,5.0,,,93.0,93.0,238.0,4.0,,50.0,,
2012,316.0,150.0,0.0,131.0,384.0,0.0,3.0,538.0,90.0,33.0,3.0,0.0,0.0,60.0,74.0,131.0,1.0,0.0,52.0,0.0,0.0
2013,333.0,,4.0,157.0,748.0,,18.0,382.0,41.0,186.0,0.0,0.0,0.0,73.0,103.0,84.0,2.0,1.0,117.0,1.0,1.0
2014,407.0,197.0,4.0,226.0,863.0,33.0,19.0,852.0,15.0,194.0,0.0,6.0,0.0,78.0,112.0,59.0,9.0,4.0,168.0,2.0,2.0
2015,419.0,246.0,5.0,211.0,1011.0,23.0,,1981.0,23.0,241.0,10.0,4.0,1.0,135.0,97.0,51.0,1.0,4.0,177.0,3.0,4.0
2016,396.0,215.0,3.0,222.0,1120.0,39.0,23.0,2234.0,11.0,303.0,16.0,7.0,0.0,149.0,105.0,55.0,0.0,4.0,161.0,2.0,4.0
2017,396.0,221.0,5.0,,1189.0,42.0,33.0,2285.0,12.0,280.0,16.0,8.0,1.0,171.0,144.0,79.0,2.0,6.0,194.0,3.0,10.0
2018,325.0,222.0,10.0,209.0,1195.0,42.0,20.0,2280.0,14.0,296.0,18.0,6.0,6.0,201.0,179.0,76.0,4.0,4.0,198.0,3.0,9.0
2019,,197.0,5.0,212.0,1266.0,44.0,15.0,2108.0,21.0,257.0,22.0,3.0,3.0,231.0,189.0,95.0,7.0,6.0,171.0,8.0,12.0
2020,236.0,194.0,4.0,181.0,1048.0,37.0,15.0,1930.0,14.0,238.0,12.0,2.0,0.0,216.0,165.0,85.0,0.0,12.0,98.0,3.0,12.0
